,Library,Well,Hours,Media,Mapped.Fragments,Pseudotime,State
T0_CT_A01,SCC10013_A01,A01,0,GM,1958074,23.91667258602016,1
T0_CT_A03,SCC10013_A03,A03,0,GM,1930722,9.022264943878293,1
T0_CT_A05,SCC10013_A05,A05,0,GM,1452623,7.546607717080832,1
T0_CT_A06,SCC10013_A06,A06,0,GM,2566325,21.463947515574933,1
T0_CT_A07,SCC10013_A07,A07,0,GM,2383438,11.29980640309242,1
T0_CT_A08,SCC10013_A08,A08,0,GM,1472238,67.43604194152665,2
T0_CT_A10,SCC10013_A10,A10,0,GM,2003588,12.282430065550237,1
T0_CT_A11,SCC10013_A11,A11,0,GM,3705423,35.62501926167204,1
T0_CT_B01,SCC10013_B01,B01,0,GM,3281907,39.41372650292842,1
T0_CT_B03,SCC10013_B03,B03,0,GM,1557086,17.2005256558707,1
T0_CT_B05,SCC10013_B05,B05,0,GM,1535410,30.92465748480243,1
T0_CT_B07,SCC10013_B07,B07,0,GM,1979475,29.493351418594234,1
T0_CT_B08,SCC10013_B08,B08,0,GM,1566056,14.840388110820976,1
T0_CT_B09,SCC10013_B09,B09,0,GM,2166036,8.336487122541445,1
T0_CT_C02,SCC10013_C02,C02,0,GM,1250883,14.494140216573483,1
T0_CT_C03,SCC10013_C03,C03,0,GM,2301617,52.45279667065596,2
T0_CT_C05,SCC10013_C05,C05,0,GM,2998735,32.30224044209522,1
T0_CT_C06,SCC10013_C06,C06,0,GM,2760945,40.966766432956895,1
T0_CT_C07,SCC10013_C07,C07,0,GM,2615122,24.28482674236089,1
T0_CT_C08,SCC10013_C08,C08,0,GM,1997103,9.089118626791693,1
T0_CT_C09,SCC10013_C09,C09,0,GM,4008143,35.150663401589675,1
T0_CT_C11,SCC10013_C11,C11,0,GM,3279744,34.130191097364374,1
T0_CT_C12,SCC10013_C12,C12,0,GM,1692120,13.171767127648872,1
T0_CT_D01,SCC10013_D01,D01,0,GM,2051095,21.00777779241478,1
